team,rank,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,date
Napoli,1,5,3,2,0,12,4,+8,11,"2,20",10.5,3.2,+7.3,2022-09-05
Milan,2,5,3,2,0,10,5,+5,11,"2,20",7.5,4.0,+3.5,2022-09-05
Udinese,3,5,3,1,1,9,5,+4,10,"2,00",5.8,6.4,-0.6,2022-09-05
Atalanta,4,4,3,1,0,7,2,+5,10,"2,50",6.5,2.6,+3.9,2022-09-05
Roma,5,5,3,1,1,6,5,+1,10,"2,00",10.0,3.6,+6.4,2022-09-05
Juventus,6,5,2,3,0,7,2,+5,9,"1,80",5.2,5.0,+0.2,2022-09-05
Inter,7,5,3,0,2,11,8,+3,9,"1,80",10.5,4.4,+6.0,2022-09-05
Lazio,8,5,2,2,1,7,5,+2,8,"1,60",3.9,7.2,-3.3,2022-09-05
Torino,9,4,2,1,1,5,5,0,7,"1,75",6.3,6.4,-0.1,2022-09-05
Fiorentina,10,5,1,3,1,4,4,0,6,"1,20",6.0,5.2,+0.8,2022-09-05
Sassuolo,11,5,1,3,1,3,5,-2,6,"1,20",5.8,4.0,+1.8,2022-09-05
Salernitana,12,4,1,2,1,5,2,+3,5,"1,25",4.9,7.0,-2.2,2022-09-05
Hellas Verona,13,5,1,2,2,6,9,-3,5,"1,00",6.1,5.9,+0.2,2022-09-05
Spezia,14,5,1,2,2,5,9,-4,5,"1,00",3.5,9.3,-5.8,2022-09-05
Empoli,15,4,0,3,1,2,3,-1,3,"0,75",3.3,3.3,0.0,2022-09-05
Bologna,16,5,0,3,2,5,8,-3,3,"0,60",6.3,6.9,-0.6,2022-09-05
Lecce,17,4,0,2,2,3,5,-2,2,"0,50",2.8,5.6,-2.8,2022-09-05
Sampdoria,18,5,0,2,3,2,9,-7,2,"0,40",4.8,7.7,-2.8,2022-09-05
Cremonese,19,5,0,1,4,4,9,-5,1,"0,20",3.5,9.8,-6.3,2022-09-05
Monza,20,4,0,0,4,2,11,-9,0,"0,00",3.9,9.6,-5.6,2022-09-05
